race_id,race_display_name,chamber,state_district,baseline_party_advantage,surprise_risk_score,surprise_risk_label,polling_status,missing_data_uncertainty_label,latest_updated
HOUSE-AZ-01-2026,Arizona 1st District,U.S. House,AZ-1,No clear advantage,18.0,low,limited/missing,high,2026-06-01T00:11:58
HOUSE-AZ-06-2026,Arizona 6th District,U.S. House,AZ-6,No clear advantage,5.0,low,available,standard,2026-06-01T00:11:58
HOUSE-CA-22-2026,California 22nd District,U.S. House,CA-22,No clear advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-CO-08-2026,Colorado 8th District,U.S. House,CO-8,No clear advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-FL-25-2026,Florida 25th District,U.S. House,FL-25,No clear advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-IA-01-2026,Iowa 1st District,U.S. House,IA-1,No clear advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-IA-03-2026,Iowa 3rd District,U.S. House,IA-3,No clear advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-MI-07-2026,Michigan 7th District,U.S. House,MI-7,No clear advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-NJ-07-2026,New Jersey 7th District,U.S. House,NJ-7,No clear advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-OH-09-2026,Ohio 9th District,U.S. House,OH-9,No clear advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-PA-07-2026,Pennsylvania 7th District,U.S. House,PA-7,No clear advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-PA-10-2026,Pennsylvania 10th District,U.S. House,PA-10,No clear advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-TX-34-2026,Texas 34th District,U.S. House,TX-34,No clear advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-VA-02-2026,Virginia 2nd District,U.S. House,VA-2,No clear advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-WI-03-2026,Wisconsin 3rd District,U.S. House,WI-3,No clear advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
SEN-MI-2026,Michigan Senate,U.S. Senate,MI,No clear advantage,5.0,low,available,standard,2026-06-01T00:11:58
SEN-ME-2026,Maine Senate,U.S. Senate,ME,No clear advantage,5.0,low,available,standard,2026-06-01T00:11:58
SEN-OH-SPECIAL-2026,Ohio Senate Special,U.S. Senate,OH,No clear advantage,5.0,low,available,standard,2026-06-01T00:11:58
HOUSE-MI-10-2026,Michigan 10th District,U.S. House,MI-10,Republican advantage,23.0,watch,limited/missing,high,2026-06-01T00:11:58
SEN-NC-2026,North Carolina Senate,U.S. Senate,NC,Democratic advantage,10.0,low,available,standard,2026-06-01T00:11:58
